location_id,location_name,parameter_of_AQI,value_of_AQI,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
6946,"Belur Math, Howrah - WBPCB",co,0.655,ppb,2025-08-10T00:15:00Z,2025-08-10T05:45:00+05:30,Asia/Kolkata,22.629801,88.352017,,,,West Bengal Pollution Control Board,CPCB
6946,"Belur Math, Howrah - WBPCB",co,0.666,ppb,2025-08-10T00:30:00Z,2025-08-10T06:00:00+05:30,Asia/Kolkata,22.629801,88.352017,,,,West Bengal Pollution Control Board,CPCB
6946,"Belur Math, Howrah - WBPCB",co,0.655,ppb,2025-08-10T00:45:00Z,2025-08-10T06:15:00+05:30,Asia/Kolkata,22.629801,88.352017,,,,West Bengal Pollution Control Board,CPCB
6946,"Belur Math, Howrah - WBPCB",co,0.657,ppb,2025-08-10T01:00:00Z,2025-08-10T06:30:00+05:30,Asia/Kolkata,22.629801,88.352017,,,,West Bengal Pollution Control Board,CPCB
6946,"Belur Math, Howrah - WBPCB",co,0.662,ppb,2025-08-10T01:15:00Z,2025-08-10T06:45:00+05:30,Asia/Kolkata,22.629801,88.352017,,,,West Bengal Pollution Control Board,CPCB
6946,"Belur Math, Howrah - WBPCB",co,0.657,ppb,2025-08-10T01:30:00Z,2025-08-10T07:00:00+05:30,Asia/Kolkata,22.629801,88.352017,,,,West Bengal Pollution Control Board,CPCB
234997,"Dharmapuri, Agra - UPPCB",co,0.14,ppb,2025-08-10T02:00:00Z,2025-08-10T07:30:00+05:30,Asia/Kolkata,27.169338,78.03582,,,,Uttar Pradesh Pollution Control Board,CPCB
234997,"Dharmapuri, Agra - UPPCB",co,0.18,ppb,2025-08-10T02:15:00Z,2025-08-10T07:45:00+05:30,Asia/Kolkata,27.169338,78.03582,,,,Uttar Pradesh Pollution Control Board,CPCB
234997,"Dharmapuri, Agra - UPPCB",co,0.2,ppb,2025-08-10T02:30:00Z,2025-08-10T08:00:00+05:30,Asia/Kolkata,27.169338,78.03582,,,,Uttar Pradesh Pollution Control Board,CPCB
234997,"Dharmapuri, Agra - UPPCB",co,0.19,ppb,2025-08-10T02:45:00Z,2025-08-10T08:15:00+05:30,Asia/Kolkata,27.169338,78.03582,,,,Uttar Pradesh Pollution Control Board,CPCB
234997,"Dharmapuri, Agra - UPPCB",co,0.2,ppb,2025-08-10T03:00:00Z,2025-08-10T08:30:00+05:30,Asia/Kolkata,27.169338,78.03582,,,,Uttar Pradesh Pollution Control Board,CPCB
234997,"Dharmapuri, Agra - UPPCB",co,0.22,ppb,2025-08-10T03:15:00Z,2025-08-10T08:45:00+05:30,Asia/Kolkata,27.169338,78.03582,,,,Uttar Pradesh Pollution Control Board,CPCB
234997,"Dharmapuri, Agra - UPPCB",co,0.23,ppb,2025-08-10T03:30:00Z,2025-08-10T09:00:00+05:30,Asia/Kolkata,27.169338,78.03582,,,,Uttar Pradesh Pollution Control Board,CPCB
234997,"Dharmapuri, Agra - UPPCB",co,0.25,ppb,2025-08-10T03:45:00Z,2025-08-10T09:15:00+05:30,Asia/Kolkata,27.169338,78.03582,,,,Uttar Pradesh Pollution Control Board,CPCB
234997,"Dharmapuri, Agra - UPPCB",co,0.27,ppb,2025-08-10T04:00:00Z,2025-08-10T09:30:00+05:30,Asia/Kolkata,27.169338,78.03582,,,,Uttar Pradesh Pollution Control Board,CPCB
234997,"Dharmapuri, Agra - UPPCB",co,0.26,ppb,2025-08-10T04:15:00Z,2025-08-10T09:45:00+05:30,Asia/Kolkata,27.169338,78.03582,,,,Uttar Pradesh Pollution Control Board,CPCB
234997,"Dharmapuri, Agra - UPPCB",co,0.25,ppb,2025-08-10T04:30:00Z,2025-08-10T10:00:00+05:30,Asia/Kolkata,27.169338,78.03582,,,,Uttar Pradesh Pollution Control Board,CPCB
234997,"Dharmapuri, Agra - UPPCB",co,0.25,ppb,2025-08-10T04:45:00Z,2025-08-10T10:15:00+05:30,Asia/Kolkata,27.169338,78.03582,,,,Uttar Pradesh Pollution Control Board,CPCB
234997,"Dharmapuri, Agra - UPPCB",co,0.25,ppb,2025-08-10T05:00:00Z,2025-08-10T10:30:00+05:30,Asia/Kolkata,27.169338,78.03582,,,,Uttar Pradesh Pollution Control Board,CPCB
234997,"Dharmapuri, Agra - UPPCB",co,0.23,ppb,2025-08-10T05:15:00Z,2025-08-10T10:45:00+05:30,Asia/Kolkata,27.169338,78.03582,,,,Uttar Pradesh Pollution Control Board,CPCB
234997,"Dharmapuri, Agra - UPPCB",no2,21.93,ppb,2025-08-10T20:15:00Z,2025-08-11T01:45:00+05:30,Asia/Kolkata,27.169338,78.03582,,,,Uttar Pradesh Pollution Control Board,CPCB
234997,"Dharmapuri, Agra - UPPCB",no2,22.18,ppb,2025-08-10T20:30:00Z,2025-08-11T02:00:00+05:30,Asia/Kolkata,27.169338,78.03582,,,,Uttar Pradesh Pollution Control Board,CPCB
234997,"Dharmapuri, Agra - UPPCB",no2,22.13,ppb,2025-08-10T20:45:00Z,2025-08-11T02:15:00+05:30,Asia/Kolkata,27.169338,78.03582,,,,Uttar Pradesh Pollution Control Board,CPCB
234997,"Dharmapuri, Agra - UPPCB",no2,22.29,ppb,2025-08-10T21:00:00Z,2025-08-11T02:30:00+05:30,Asia/Kolkata,27.169338,78.03582,,,,Uttar Pradesh Pollution Control Board,CPCB
234997,"Dharmapuri, Agra - UPPCB",no2,22.28,ppb,2025-08-10T21:15:00Z,2025-08-11T02:45:00+05:30,Asia/Kolkata,27.169338,78.03582,,,,Uttar Pradesh Pollution Control Board,CPCB
234997,"Dharmapuri, Agra - UPPCB",no2,21.89,ppb,2025-08-10T21:30:00Z,2025-08-11T03:00:00+05:30,Asia/Kolkata,27.169338,78.03582,,,,Uttar Pradesh Pollution Control Board,CPCB
234997,"Dharmapuri, Agra - UPPCB",no2,22.65,ppb,2025-08-10T21:45:00Z,2025-08-11T03:15:00+05:30,Asia/Kolkata,27.169338,78.03582,,,,Uttar Pradesh Pollution Control Board,CPCB
234997,"Dharmapuri, Agra - UPPCB",no2,23.19,ppb,2025-08-10T22:00:00Z,2025-08-11T03:30:00+05:30,Asia/Kolkata,27.169338,78.03582,,,,Uttar Pradesh Pollution Control Board,CPCB
234997,"Dharmapuri, Agra - UPPCB",no2,22.58,ppb,2025-08-10T22:15:00Z,2025-08-11T03:45:00+05:30,Asia/Kolkata,27.169338,78.03582,,,,Uttar Pradesh Pollution Control Board,CPCB
234997,"Dharmapuri, Agra - UPPCB",no2,21.96,ppb,2025-08-10T22:30:00Z,2025-08-11T04:00:00+05:30,Asia/Kolkata,27.169338,78.03582,,,,Uttar Pradesh Pollution Control Board,CPCB
234997,"Dharmapuri, Agra - UPPCB",no2,22.06,ppb,2025-08-10T22:45:00Z,2025-08-11T04:15:00+05:30,Asia/Kolkata,27.169338,78.03582,,,,Uttar Pradesh Pollution Control Board,CPCB
278671,"Shivaji Nagar, Jhansi - UPPCB",so2,5.33,ppb,2025-08-10T11:15:00Z,2025-08-10T16:45:00+05:30,Asia/Kolkata,25.4547,78.6039,,,,Uttar Pradesh Pollution Control Board,CPCB
278671,"Shivaji Nagar, Jhansi - UPPCB",so2,5.93,ppb,2025-08-10T11:30:00Z,2025-08-10T17:00:00+05:30,Asia/Kolkata,25.4547,78.6039,,,,Uttar Pradesh Pollution Control Board,CPCB
278671,"Shivaji Nagar, Jhansi - UPPCB",so2,6.42,ppb,2025-08-10T11:45:00Z,2025-08-10T17:15:00+05:30,Asia/Kolkata,25.4547,78.6039,,,,Uttar Pradesh Pollution Control Board,CPCB
278671,"Shivaji Nagar, Jhansi - UPPCB",so2,7.54,ppb,2025-08-10T12:00:00Z,2025-08-10T17:30:00+05:30,Asia/Kolkata,25.4547,78.6039,,,,Uttar Pradesh Pollution Control Board,CPCB
278671,"Shivaji Nagar, Jhansi - UPPCB",so2,8.09,ppb,2025-08-10T12:15:00Z,2025-08-10T17:45:00+05:30,Asia/Kolkata,25.4547,78.6039,,,,Uttar Pradesh Pollution Control Board,CPCB
278671,"Shivaji Nagar, Jhansi - UPPCB",so2,6.29,ppb,2025-08-10T12:30:00Z,2025-08-10T18:00:00+05:30,Asia/Kolkata,25.4547,78.6039,,,,Uttar Pradesh Pollution Control Board,CPCB
278671,"Shivaji Nagar, Jhansi - UPPCB",so2,5.46,ppb,2025-08-10T12:45:00Z,2025-08-10T18:15:00+05:30,Asia/Kolkata,25.4547,78.6039,,,,Uttar Pradesh Pollution Control Board,CPCB
278671,"Shivaji Nagar, Jhansi - UPPCB",so2,5.12,ppb,2025-08-10T13:00:00Z,2025-08-10T18:30:00+05:30,Asia/Kolkata,25.4547,78.6039,,,,Uttar Pradesh Pollution Control Board,CPCB
278671,"Shivaji Nagar, Jhansi - UPPCB",so2,4.81,ppb,2025-08-10T13:15:00Z,2025-08-10T18:45:00+05:30,Asia/Kolkata,25.4547,78.6039,,,,Uttar Pradesh Pollution Control Board,CPCB
278671,"Shivaji Nagar, Jhansi - UPPCB",so2,5.43,ppb,2025-08-10T13:30:00Z,2025-08-10T19:00:00+05:30,Asia/Kolkata,25.4547,78.6039,,,,Uttar Pradesh Pollution Control Board,CPCB
278671,"Shivaji Nagar, Jhansi - UPPCB",so2,5.23,ppb,2025-08-10T13:45:00Z,2025-08-10T19:15:00+05:30,Asia/Kolkata,25.4547,78.6039,,,,Uttar Pradesh Pollution Control Board,CPCB
278671,"Shivaji Nagar, Jhansi - UPPCB",so2,5.46,ppb,2025-08-10T14:00:00Z,2025-08-10T19:30:00+05:30,Asia/Kolkata,25.4547,78.6039,,,,Uttar Pradesh Pollution Control Board,CPCB
278671,"Shivaji Nagar, Jhansi - UPPCB",so2,5.62,ppb,2025-08-10T14:15:00Z,2025-08-10T19:45:00+05:30,Asia/Kolkata,25.4547,78.6039,,,,Uttar Pradesh Pollution Control Board,CPCB
278671,"Shivaji Nagar, Jhansi - UPPCB",so2,5.82,ppb,2025-08-10T14:30:00Z,2025-08-10T20:00:00+05:30,Asia/Kolkata,25.4547,78.6039,,,,Uttar Pradesh Pollution Control Board,CPCB
278671,"Shivaji Nagar, Jhansi - UPPCB",so2,6.4,ppb,2025-08-10T14:45:00Z,2025-08-10T20:15:00+05:30,Asia/Kolkata,25.4547,78.6039,,,,Uttar Pradesh Pollution Control Board,CPCB
278671,"Shivaji Nagar, Jhansi - UPPCB",so2,6.5,ppb,2025-08-10T15:00:00Z,2025-08-10T20:30:00+05:30,Asia/Kolkata,25.4547,78.6039,,,,Uttar Pradesh Pollution Control Board,CPCB
278671,"Shivaji Nagar, Jhansi - UPPCB",so2,7.54,ppb,2025-08-10T15:15:00Z,2025-08-10T20:45:00+05:30,Asia/Kolkata,25.4547,78.6039,,,,Uttar Pradesh Pollution Control Board,CPCB
